,dataset_name,method,theta,max,SSE,Total_time
175,Syn_n_50000_d_2_seed_5,asc,1.2,50.0,823692.9235572383,10.432566404342651
176,Syn_n_50000_d_2_seed_5,asc,1.5,5.0,823717.2593915103,3.395883560180664
177,Syn_n_50000_d_2_seed_5,asc,1.5,10.0,823702.8838677679,4.058177709579468
178,Syn_n_50000_d_2_seed_5,asc,1.5,20.0,823692.9235572398,4.947734832763672
179,Syn_n_50000_d_2_seed_5,asc,1.5,50.0,823692.9235572398,6.463224411010742
180,Syn_n_50000_d_2_seed_5,asc,2.0,5.0,823738.2119847543,2.4055655002593994
181,Syn_n_50000_d_2_seed_5,asc,2.0,10.0,823702.7347822157,3.123810291290283
182,Syn_n_50000_d_2_seed_5,asc,2.0,20.0,823692.9235572405,3.744983673095703
183,Syn_n_50000_d_2_seed_5,asc,2.0,50.0,823692.9235572405,4.943259954452515
184,Syn_n_50000_d_2_seed_5,asc,5.0,5.0,823738.2119847538,1.4441053867340088
185,Syn_n_50000_d_2_seed_5,asc,5.0,10.0,823710.7528827052,2.238046646118164
186,Syn_n_50000_d_2_seed_5,asc,5.0,20.0,823692.9235572395,2.5491783618927
187,Syn_n_50000_d_2_seed_5,asc,5.0,50.0,823692.9235572395,2.9810268878936768
188,Syn_n_50000_d_2_seed_5,asc,10.0,5.0,823772.1638566646,1.970724105834961
189,Syn_n_50000_d_2_seed_5,asc,10.0,10.0,823750.5119337924,1.8739566802978516
190,Syn_n_50000_d_2_seed_5,asc,10.0,20.0,823728.5719638782,1.9129149913787842
191,Syn_n_50000_d_2_seed_5,asc,10.0,50.0,823740.6071154892,2.2599573135375977
192,Syn_n_50000_d_2_seed_6,asc,1.01,5.0,823930.5723538054,79.68749022483826
193,Syn_n_50000_d_2_seed_6,asc,1.01,10.0,823930.5723538054,80.10561323165894
194,Syn_n_50000_d_2_seed_6,asc,1.01,20.0,823930.5723538061,78.0642569065094
195,Syn_n_50000_d_2_seed_6,asc,1.01,50.0,823930.5723538061,79.0919771194458
196,Syn_n_50000_d_2_seed_6,asc,1.05,5.0,823944.4035925376,24.131999492645264
